method,env_id,per_seed_ckpt_policy,episodes_per_seed,n_runs,n_seeds,seeds,mean_return_mean,mean_return_std,mean_return_se,mean_return_ci95_lo,mean_return_ci95_hi,mean_length_mean,mean_length_std,mean_length_se,mean_length_ci95_lo,mean_length_ci95_hi,step_min,step_max,step_mean
glpe,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",4961.287651177988,711.1166351186997,251.41769745349617,4421.483558958573,5358.928888854421,942.44375,66.17364674428562,23.39591717436373,892.08125,982.5004687499999,15000000,15000000,15000000
glpe,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",266.54542481895396,68.10110491969068,24.077376547504915,214.00255227888354,301.3096399547867,996.91875,264.32568799860803,93.45324321280768,828.2632812500001,1193.9171875,7000000,7000000,7000000
glpe,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",6888.629640115365,526.9187544905977,186.29391221733562,6565.248128593654,7284.894420259436,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
glpe,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",1969.954804422815,2323.7209369834527,1039.199595166901,546.3970452545063,4355.333620276217,326.59999999999997,335.3670943906095,149.98072409479823,111.10800000000003,671.24,30000000,30000000,30000000
glpe,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-96.24000000000001,0.5219195340279945,0.16504544828622172,-96.535,-95.93,96.24000000000001,0.5219195340279945,0.16504544828622172,95.915,96.58,3000000,3000000,3000000
glpe_cache,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",4961.287651177988,711.1166351186997,251.41769745349617,4394.984616527648,5375.805297462014,942.44375,66.17364674428562,23.39591717436373,893.4346875,983.06390625,15000000,15000000,15000000
glpe_cache,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",291.51479608838105,11.939973114202827,4.221417978118939,282.8844596725824,299.5304984579591,1137.24375,228.68965520643363,80.85400299184133,974.5539062500002,1285.65859375,7000000,7000000,7000000
glpe_cache,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",6836.025621260529,398.80994152237196,141.00060702753984,6544.495707684787,7117.054616357828,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
glpe_cache,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",877.3049723276503,496.1927116080091,221.90412661909147,482.5362231888929,1356.5599060105517,166.03,91.47505452307749,40.90888803182017,93.74000000000001,246.01,30000000,30000000,30000000
glpe_cache,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-106.66,31.117316722365377,9.840159551551997,-127.46499999999999,-96.04987499999999,106.66,31.117316722365377,9.840159551551997,96.029875,127.49512499999997,3000000,3000000,3000000
