method,env_id,ckpt_step,per_seed_ckpt_policy,episodes_per_seed,n_runs,n_seeds,seeds,mean_return_mean,mean_return_std,mean_return_se,mean_return_ci95_lo,mean_return_ci95_hi,mean_length_mean,mean_length_std,mean_length_se,mean_length_ci95_lo,mean_length_ci95_hi
glpe,Ant-v5,0,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",985.813282797613,5.890923801557273,2.0827560837671917,981.7731717279086,989.644404526349,1000.0,0.0,0.0,1000.0,1000.0
glpe,Ant-v5,163840,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",969.0007943159134,52.18719682383281,18.450960382624615,936.0832242601623,1003.649740015084,980.975,29.35816538886584,10.379678914831613,957.6375,998.2875
glpe,Ant-v5,311296,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",734.0475965730258,140.42026456986198,49.64606064667925,634.1877085081296,822.6041395621739,714.5375,114.38181058957755,40.44007695614277,631.2434375,793.75140625
glpe,Ant-v5,458752,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",714.0330387210539,119.93640453376015,42.40392247847739,627.4670028994002,795.6114841030068,696.53125,113.48650508292826,40.123538658650084,616.3937500000001,769.8731249999998
glpe,Ant-v5,606208,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",497.6764450921245,192.07730343823724,67.90958188660186,368.24197145464615,638.1078802992666,470.825,203.41396369226965,71.917696557419,337.55187500000005,613.8785937499997
glpe,Ant-v5,753664,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",489.81811162464766,77.66289024071861,27.457978167879332,437.58381420564456,546.754923728422,437.95625,107.46084879358389,37.99314744700269,365.85421875000003,514.76828125
glpe,Ant-v5,901120,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",544.8744193300006,120.93191049372376,42.755886985978336,462.1599124949453,633.5438781449271,463.275,102.50057926665585,36.23942733750079,393.175,537.9285937499999
glpe,Ant-v5,1064960,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",606.2065277326483,73.38399832440908,25.94516142288595,556.9761030871193,654.504217514327,485.525,74.346961101312,26.285620177675092,431.71234375000006,535.7432812499999
glpe,Ant-v5,1212416,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",692.3649435743075,112.9356043835248,39.928765848495786,611.3579941370236,767.0768665895259,536.9375,89.98031295094499,31.81284473045046,482.29375000000005,604.97875
glpe,Ant-v5,1359872,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",776.2709427517575,168.04331321472705,59.41228315359423,674.0504913908334,908.4521749700334,548.56875,105.25652277145345,37.21380050790549,485.00609375,628.3643749999999
glpe,Ant-v5,1507328,latest_ckpt,20,8,8,"0,1,2,3,4,5,6,7",964.0477851845766,200.1660155769672,70.7693734887828,815.3386131326778,1087.8017835108599,617.70625,120.50394557207453,42.604578536874264,527.3059375,691.66640625
