method,env_id,seed,policy_mode,seed_offset,episode_seeds_hash,ckpt_step,episodes,mean_return,std_return,min_return,max_return,mean_length,std_length,ckpt_path
glpe,Ant-v5,0,mode,0,0309058c7162,0,20,984.451615,2.440617,981.487478,990.448987,1000.000000,0.000000,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_0.pt
glpe,Ant-v5,0,mode,0,0309058c7162,163840,20,956.695158,189.746329,339.260585,1141.495497,928.300000,180.421756,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_163840.pt
glpe,Ant-v5,0,mode,0,0309058c7162,311296,20,471.109362,412.544070,16.370568,1076.127665,501.600000,455.773233,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_311296.pt
glpe,Ant-v5,0,mode,0,0309058c7162,458752,20,519.881337,417.559227,24.533717,1069.249627,523.550000,444.788205,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_458752.pt
glpe,Ant-v5,0,mode,0,0309058c7162,606208,20,441.593239,395.379003,19.075692,1003.590526,422.700000,430.402498,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_606208.pt
glpe,Ant-v5,0,mode,0,0309058c7162,753664,20,477.526673,397.989864,24.683176,1072.810110,456.100000,417.456333,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_753664.pt
glpe,Ant-v5,0,mode,0,0309058c7162,901120,20,434.017539,415.083573,33.084553,1225.747355,383.350000,419.996223,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_901120.pt
glpe,Ant-v5,0,mode,0,0309058c7162,1064960,20,590.386657,447.569746,32.769732,1378.545573,490.500000,425.322995,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_1064960.pt
glpe,Ant-v5,0,mode,0,0309058c7162,1212416,20,840.872115,440.057708,72.171384,1456.278615,729.150000,409.786807,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_1212416.pt
glpe,Ant-v5,0,mode,0,0309058c7162,1359872,20,1142.957645,496.024844,142.018883,1768.056905,790.650000,327.192493,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_1359872.pt
glpe,Ant-v5,0,mode,0,0309058c7162,1507328,20,966.170222,569.799835,42.993867,1897.554634,615.100000,366.273655,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_1507328.pt
glpe,Ant-v5,0,mode,0,0309058c7162,3014656,20,1984.554842,665.031259,445.401518,2684.871596,860.650000,254.084882,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_3014656.pt
glpe,Ant-v5,0,mode,0,0309058c7162,4521984,20,2602.984407,894.659865,1020.641311,3595.394904,900.200000,189.130537,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_4521984.pt
glpe,Ant-v5,0,mode,0,0309058c7162,6029312,20,3061.889792,1156.214409,1084.537859,4311.135294,976.400000,72.093966,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_6029312.pt
glpe,Ant-v5,0,mode,0,0309058c7162,7536640,20,4165.887064,1264.713362,534.185874,5050.120807,933.650000,199.556327,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_7536640.pt
glpe,Ant-v5,0,mode,0,0309058c7162,9043968,20,4533.219259,1270.821375,950.275419,5388.423565,901.700000,243.960058,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_9043968.pt
glpe,Ant-v5,0,mode,0,0309058c7162,10551296,20,5278.096557,608.385271,3264.099073,5618.398882,985.100000,64.947594,/workspace/VM_00/code/runs_suite/glpe__Ant-v5__seed0__ant5_glpe/checkpoints/ckpt_step_10551296.pt
